Bulan Rata-rata,
,Harga Cabai Merah (1 Kg) (Rupiah)
,2023
Januari,48611
Februari,46667
Maret,47111
April,47778
Mei,49028
Juni,47733
Juli,48056
Agustus,47333
September,46528
Oktober,46667
November,43022
Desember,41250
Rata-rata,46649
