Bulan Rata-rata,
,Harga Beras Lokal (1 Kg) (Rupiah)
,2020
Januari,10050
Februari,10083
Maret,10083
April,10083
Mei,10083
Juni,10021
Juli,10000
Agustus,10000
September,10000
Oktober,10000
November,10000
Desember,10000
Rata-rata,10034
